Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 30.0, -2.5
Query 2, 0, 0, 0
Query 3, 2, 20.0, -28.0
Query 4, 4, 40.0, -4.4
Query 5, 3, 30.0, -6.25
Query 6, 1, 10.0, 1
Query 7, 0, 0, 0
Query 8, 1, 10.0, 1
Query 9, 1, 10.0, 1
Query 10, 1, 10.0, 1
Query 11, 0, 0, 0
Query 12, 0, 0, 0
Query 13, 3, 30.0, -11.75
Query 14, 1, 10.0, 1
Query 15, 4, 40.0, -0.3999999999999999
Query 16, 2, 20.0, -4.0
Query 17, 2, 20.0, -15.0
Query 18, 0, 0, 0
Query 19, 1, 10.0, 1
Query 20, 2, 20.0, 1.0
Query 21, 0, 0, 0
Query 22, 3, 30.0, -12.25
Query 23, 4, 40.0, 0.09999999999999998
Query 24, 0, 0, 0
Query 25, 1, 10.0, 1
Query 26, 2, 20.0, -8.0
Query 27, 2, 20.0, -64.0
Query 28, 1, 10.0, 1
Query 29, 1, 10.0, 1
Query 30, 2, 20.0, -16.0
Query 31, 0, 0, 0
Query 32, 1, 10.0, 1
Query 33, 2, 20.0, 0.0
Query 34, 2, 20.0, 0.0
Query 35, 1, 10.0, 1
Query 36, 1, 10.0, 1
Query 37, 4, 40.0, -0.5
Query 38, 5, 50.0, -0.3999999999999999
Query 39, 4, 40.0, -0.8999999999999999
Query 40, 3, 30.0, -3.25
Query 41, 1, 10.0, 1
Query 42, 2, 20.0, -24.0
Query 43, 1, 10.0, 1
Query 44, 2, 20.0, -35.0
Query 45, 3, 30.0, -19.75
Query 46, 2, 20.0, -17.0
Query 47, 2, 20.0, 0.0
Query 48, 0, 0, 0
Query 49, 3, 30.0, -5.25
Query 50, 4, 40.0, -5.6
Query 51, 1, 10.0, 1
Query 52, 3, 30.0, -2.0
Query 53, 1, 10.0, 1
Query 54, 2, 20.0, -4.0
Query 55, 2, 20.0, -9.0
Query 56, 1, 10.0, 1
Query 57, 3, 30.0, -3.75
Query 58, 2, 20.0, 0.0
Query 59, 2, 20.0, -19.0
Query 60, 1, 10.0, 1
Query 61, 3, 30.0, -2.25
Query 62, 3, 30.0, -7.75
Query 63, 1, 10.0, 1
Query 64, 0, 0, 0
Query 65, 0, 0, 0
Query 66, 1, 10.0, 1
Query 67, 1, 10.0, 1
Query 68, 4, 40.0, -1.7999999999999998
Query 69, 1, 10.0, 1
Query 70, 2, 20.0, 0.0
Query 71, 2, 20.0, -4.0
Query 72, 0, 0, 0
Query 73, 1, 10.0, 1
Query 74, 3, 30.0, -2.25
Query 75, 1, 10.0, 1
Query 76, 1, 10.0, 1
Query 77, 0, 0, 0
Query 78, 2, 20.0, 0.0
Query 79, 1, 10.0, 1
Query 80, 2, 20.0, -9.0
Query 81, 1, 10.0, 1
Query 82, 2, 20.0, -4.0
Query 83, 4, 40.0, -2.4
Query 84, 0, 0, 0
Query 85, 0, 0, 0
Query 86, 3, 30.0, -0.5
Query 87, 1, 10.0, 1
Query 88, 2, 20.0, -28.0
Query 89, 3, 30.0, -0.25
Query 90, 5, 50.0, 0.44999999999999996
Query 91, 2, 20.0, -1.0
Query 92, 3, 30.0, -1.75
Query 93, 1, 10.0, 1
Query 94, 4, 40.0, -2.5
Query 95, 0, 0, 0
Query 96, 0, 0, 0
Query 97, 1, 10.0, 1
Query 98, 2, 20.0, -9.0
Query 99, 2, 20.0, 0.0
Query 100, 3, 30.0, -8.0
Averages, 1.76, 17.6, -3.7485000000000004
